Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
96000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
100000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
100000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
120000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
133000,000005E2,false,Rx,0,8,4E,0E,10,0D,09,1A,15,CF,
199000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
199000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
199000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
200000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
200000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
201000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
201000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
296000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
300000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
300000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
320000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
400000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
400000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
401000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
401000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
401000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
496000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
500000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
500000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
519000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
600000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
601000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
601000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
696000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
