Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
139000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
168000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
178000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
179000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
208000,00000100,false,Rx,0,8,62,00,00,04,00,00,00,00,
222000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
223000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
224000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
225000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
238000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
259000,00000197,false,Rx,0,8,0F,2F,44,00,00,00,00,00,
291000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
308000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
319000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
320000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
322000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
329000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
339000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
369000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
379000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
380000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
413000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
422000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
423000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
424000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
439000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
492000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
509000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
510000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
519000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
521000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
529000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
539000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
569000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
570000,0000012F,false,Rx,0,8,52,13,2F,0C,09,07,03,CF,
579000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
580000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
601000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
609000,0000012F,false,Rx,0,8,52,13,2F,0C,09,07,03,CF,
621000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
623000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
624000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
638000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
648000,0000012F,false,Rx,0,8,52,13,2F,0C,09,07,03,CF,
691000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
698000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
709000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
